epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,23885.2,1.05257,0.52915,0.99869,0.95168,0.93134,0.97208,0.73871,0.86525,0.40152,0.94469,0.0050995,0.0050995,0.0050995
101,24113.5,1.05615,0.52972,0.99863,0.95311,0.93129,0.97229,0.73927,0.8633,0.40024,0.94362,0.00505,0.00505,0.00505
102,24366.5,1.05464,0.52853,1.00052,0.95222,0.93204,0.97255,0.74015,0.86081,0.3992,0.94248,0.0050005,0.0050005,0.0050005
103,24608.6,1.05395,0.52934,0.9999,0.95141,0.93382,0.97251,0.74091,0.85864,0.39808,0.94128,0.004951,0.004951,0.004951
104,24843.7,1.05602,0.52768,0.99743,0.95117,0.93494,0.97283,0.74198,0.85677,0.39711,0.94014,0.0049015,0.0049015,0.0049015
105,25084.7,1.05531,0.52714,0.99731,0.95189,0.93452,0.9732,0.7427,0.8547,0.39618,0.93918,0.004852,0.004852,0.004852
106,25319.6,1.04352,0.5226,0.99453,0.95156,0.93572,0.97342,0.74361,0.85299,0.39511,0.93829,0.0048025,0.0048025,0.0048025
107,25571.1,1.04048,0.52287,0.99264,0.95287,0.93544,0.97374,0.74439,0.85137,0.39449,0.93745,0.004753,0.004753,0.004753
108,25813.8,1.04536,0.51876,0.99242,0.95391,0.93491,0.97397,0.74546,0.84982,0.39341,0.93654,0.0047035,0.0047035,0.0047035
109,26041.7,1.04351,0.51868,0.99249,0.95611,0.93382,0.97443,0.74637,0.848,0.39246,0.93575,0.004654,0.004654,0.004654
110,26270,1.03978,0.51747,0.99445,0.95437,0.937,0.97459,0.74644,0.8465,0.39155,0.93504,0.0046045,0.0046045,0.0046045
111,26515.8,1.03664,0.51328,0.9913,0.9518,0.94007,0.97479,0.74774,0.84521,0.39072,0.93452,0.004555,0.004555,0.004555
112,26766.1,1.03353,0.5143,0.99084,0.95263,0.93946,0.97507,0.74827,0.84352,0.3896,0.93378,0.0045055,0.0045055,0.0045055
113,26997.9,1.02841,0.5095,0.98946,0.95262,0.93967,0.97545,0.74868,0.84199,0.38858,0.93299,0.004456,0.004456,0.004456
114,27227.5,1.03405,0.51248,0.99192,0.95402,0.93901,0.97553,0.74972,0.84046,0.38771,0.93241,0.0044065,0.0044065,0.0044065
115,27465.1,1.03317,0.50921,0.98977,0.95571,0.93733,0.97585,0.75041,0.83927,0.38689,0.93194,0.004357,0.004357,0.004357
116,27709.1,1.03294,0.51138,0.99157,0.95572,0.93842,0.97591,0.75078,0.83813,0.38627,0.93134,0.0043075,0.0043075,0.0043075
117,27950.2,1.0295,0.50797,0.98625,0.95658,0.93838,0.97594,0.75107,0.83684,0.38566,0.93068,0.004258,0.004258,0.004258
118,28182.4,1.02871,0.50691,0.9861,0.95727,0.93831,0.97617,0.7514,0.83553,0.38484,0.93007,0.0042085,0.0042085,0.0042085
119,28415.5,1.02431,0.50412,0.98494,0.95708,0.93906,0.97613,0.75229,0.83407,0.38415,0.92936,0.004159,0.004159,0.004159
120,28674.4,1.02156,0.50419,0.98691,0.95679,0.93974,0.97633,0.75283,0.83284,0.38336,0.92874,0.0041095,0.0041095,0.0041095
121,28918.5,1.02185,0.50026,0.98523,0.95627,0.94023,0.97643,0.75358,0.83151,0.38262,0.9281,0.00406,0.00406,0.00406
122,29150.1,1.0088,0.49769,0.98033,0.9563,0.94047,0.97641,0.75417,0.83015,0.38196,0.92755,0.0040105,0.0040105,0.0040105
123,29381.9,1.01284,0.49842,0.98123,0.95552,0.94136,0.97636,0.75463,0.82898,0.3811,0.92705,0.003961,0.003961,0.003961
124,29624.8,1.00863,0.49902,0.98262,0.95639,0.94122,0.97653,0.75548,0.82805,0.38047,0.92658,0.0039115,0.0039115,0.0039115
125,29869.5,1.01265,0.4983,0.98224,0.9566,0.94128,0.97667,0.75593,0.827,0.37984,0.92606,0.003862,0.003862,0.003862
126,30105.4,1.0103,0.4983,0.98091,0.95698,0.94153,0.97685,0.75636,0.82611,0.37929,0.92564,0.0038125,0.0038125,0.0038125
